Date,Day_of_Week,Item_ID,Item_Name,Category,Unit_Price_LKR,Discount_Applied,Starting_Stock,Quantity_Sold,Closing_Stock,Total_Revenue_LKR,Is_Holiday_Season
2025-01-01,Wednesday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,346,11,335,13750.0,0
2025-01-01,Wednesday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,198,21,177,23100.0,0
2025-01-01,Wednesday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,318,36,282,13680.0,0
2025-01-01,Wednesday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,286,29,257,33350.0,0
2025-01-01,Wednesday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,396,9,387,6750.0,0
2025-01-01,Wednesday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,250,30,220,7500.0,0
2025-01-01,Wednesday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,236,40,196,12000.0,0
2025-01-01,Wednesday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,219,20,199,4400.0,0
2025-01-01,Wednesday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,381,11,370,9350.0,0
2025-01-01,Wednesday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,381,17,364,7650.0,0
2025-01-01,Wednesday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,218,16,202,3680.0,0
2025-01-01,Wednesday,PER-002,Lifebuoy Soap,Personal Care,150,0%,371,30,341,4500.0,0
2025-01-02,Thursday,GRO-001,Keeri Samba 5kg,Grocery,1250,0%,335,16,319,20000.0,0
2025-01-02,Thursday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,177,13,164,14300.0,0
2025-01-02,Thursday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,282,30,252,11400.0,0
2025-01-02,Thursday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,257,22,235,25300.0,0
2025-01-02,Thursday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,387,11,376,8250.0,0
2025-01-02,Thursday,SNA-001,Munchee Super Cream Cracker,Snacks,250,10%,220,30,190,6750.0,0
2025-01-02,Thursday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,196,40,156,12000.0,0
2025-01-02,Thursday,PAN-001,Prima Wheat Flour 1kg,Pantry,220,0%,199,33,166,7260.0,0
2025-01-02,Thursday,PAN-002,Marina Coconut Oil 1L,Pantry,850,0%,370,25,345,21250.0,0
2025-01-02,Thursday,BEV-001,Coca Cola 1.5L,Beverages,450,0%,364,16,348,7200.0,0
2025-01-02,Thursday,PER-001,Signal Toothpaste 120g,Personal Care,230,0%,202,12,190,2760.0,0
2025-01-02,Thursday,PER-002,Lifebuoy Soap,Personal Care,150,0%,341,31,310,4650.0,0
2025-01-03,Friday,GRO-001,Keeri Samba 5kg,Grocery,1250,10%,319,19,300,21375.0,0
2025-01-03,Friday,GRO-002,Nadu Rice 5kg,Grocery,1100,0%,164,26,138,28600.0,0
2025-01-03,Friday,GRO-003,Mysore Dhal 1kg,Grocery,380,0%,252,13,239,4940.0,0
2025-01-03,Friday,DAI-001,Anchor Milk Powder 400g,Dairy,1150,0%,235,27,208,31050.0,0
2025-01-03,Friday,DAI-002,Kotmale Butter 200g,Dairy,750,0%,376,12,364,9000.0,0
2025-01-03,Friday,SNA-001,Munchee Super Cream Cracker,Snacks,250,0%,190,52,138,13000.0,0
2025-01-03,Friday,SNA-002,Maliban Lemon Puff,Snacks,300,0%,156,28,128,8400.0,0
